EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,11.672231912612915,0,0.004802107810974121,1.2444993,0.15321934,0.0,-0.16823405,17489.25
2920.5,-16221.69663708096,2,2,23.484270334243774,5841,-0.3030891418457031,1.117368,0.27035698,0.0,-0.105048336,2331.4226
3451.0,-28152.19014340539,1,3,32.52338528633118,10353,-0.09364283084869385,0.9213343,0.072653204,0.0,-0.1585376,60570.55
2517.0,-20382.255070740157,3,6,53.343342542648315,15102,-0.06844639778137207,0.7861088,0.7047903,0.0,-0.12106802,14355.208
2273.6666666666665,-20509.628780931453,3,9,76.57108902931213,20463,0.0020782947540283203,0.6004756,0.13007922,0.0,-0.16678424,64174.2
2085.4545454545455,-19520.606516797245,2,11,99.50829315185547,22940,0.00011336803436279297,0.44239601,0.056748644,0.0,-0.13209757,37473.406
1964.5714285714287,-18992.3715565711,3,14,123.35265636444092,27504,-0.002008795738220215,0.33181757,0.2846192,0.0,-0.118421815,36467.844
1923.4117647058824,-19077.956440755555,3,17,142.12158823013306,32698,-1.3589859008789062e-05,0.2500384,0.057465076,0.0,-0.12068809,53110.586
1934.9473684210527,-20011.521277822194,2,19,157.0118646621704,36764,3.6954879760742188e-06,0.16525176,0.042071722,0.0,-0.1160633,66212.49
1871.0,-19541.233488326652,1,20,167.3027753829956,37420,-1.728534698486328e-05,0.120361194,0.02727092,0.0,-0.059108447,22236.143
2109.904761904762,-22388.744443804448,1,21,176.5204303264618,44308,-3.3974647521972656e-05,0.029420376,0.041234273,0.0,-0.11491875,65764.07
1948.2,-20820.616411504616,4,25,242.16117238998413,48705,-0.00058746337890625,-0.008043885,0.03600062,0.0,-0.043004926,35735.59
1921.0,-21195.785205073662,2,27,272.3281145095825,51867,-2.4318695068359375e-05,-0.03764926,0.0051163835,0.0,-0.008368896,69370.38
1971.0689655172414,-22277.265129263626,2,29,302.1063973903656,57161,1.0609626770019531e-05,-0.08504218,0.006088188,0.0,-0.012465201,67998.695
1940.0645161290322,-22108.939846545036,2,31,333.841703414917,60142,-4.76837158203125e-06,-0.137405,0.06715773,0.0,-0.030321896,38372.227
1923.5882352941176,-21735.46907041542,3,34,360.93106412887573,65402,9.894371032714844e-06,-0.20207977,0.02841986,0.0,-0.082446456,38824.227
1814.7105263157894,-20710.743385927522,4,38,411.603346824646,68959,2.8312206268310547e-05,-0.23684406,0.04428905,0.0,-0.05287546,42804.926
1711.0232558139535,-19390.001850007637,5,43,441.1498727798462,73574,-4.458427429199219e-05,-0.26500028,0.017847966,0.0,-0.08925421,33607.42
1613.7708333333333,-18062.381832812458,5,48,494.94325947761536,77461,2.390146255493164e-05,-0.27089143,0.02209164,0.0,-0.04068963,18272.938
1509.5740740740741,-16896.297302583636,6,54,556.0202429294586,81517,3.1054019927978516e-05,-0.29589102,0.010076165,0.0,-0.09006458,40801.703
1514.4285714285713,-16835.939657189323,2,56,584.0271596908569,84808,2.1338462829589844e-05,-0.31183553,0.048604276,0.0,-0.057213593,24262.732
1522.322033898305,-16964.551966699386,3,59,624.9040770530701,89817,1.2159347534179688e-05,-0.33902186,0.10737025,0.0,-0.07600439,48015.74
1487.4761904761904,-16512.51659978867,4,63,683.6188640594482,93711,2.47955322265625e-05,-0.352082,0.16930397,0.0,-0.07794575,33735.223
1400.7857142857142,-15596.809778671548,7,70,775.4221227169037,98055,3.635883331298828e-05,-0.37797913,0.04978721,0.0,-0.075793415,31517.346
1319.2597402597403,-14607.173862938253,7,77,847.8349575996399,101583,2.4080276489257812e-05,-0.39865106,0.01494614,0.0,-0.067821525,25036.186
1229.0697674418604,-13553.297840044546,9,86,910.8516352176666,105700,1.3709068298339844e-06,-0.42207718,0.04626974,0.0,-0.081217535,24100.764
1181.279569892473,-13076.042680864706,7,93,954.2440202236176,109859,-3.814697265625e-06,-0.43918434,0.09237288,0.0,-0.07300808,38006.438
1176.381443298969,-12920.012898253524,4,97,989.7903518676758,114109,-1.5735626220703125e-05,-0.44887936,0.11665165,0.0,-0.072723106,22553.746
1166.8,-12749.489041580426,3,100,1010.31498670578,116680,2.5093555450439453e-05,-0.45581993,0.043268118,0.0,-0.059098743,15615.072
1101.46,-12171.328926931305,3,103,1033.1076455116272,120499,-2.6345252990722656e-05,-0.4709053,0.3054268,0.0,-0.07826159,16935.59
1105.78,-12209.907898237865,1,104,1043.0655934810638,122906,-0.0027114152908325195,-0.47967863,0.031618178,0.0,0.010522713,1969.9968
1133.83,-12565.215702386971,3,107,1086.2113127708435,129778,2.378225326538086e-05,-0.47979027,0.039020095,0.0,-0.11556704,55487.516
1125.5,-12495.863259244277,3,110,1124.6693749427795,134081,0.00022107362747192383,-0.48041347,0.009996451,0.0,-0.0886596,28651.521
1129.21,-12477.675901761238,2,112,1146.438637495041,137527,-5.6862831115722656e-05,-0.48175624,0.010893122,0.0,-0.047015555,16665.297
1147.76,-12552.191256635017,2,114,1163.812370300293,142280,-3.814697265625e-06,-0.48205373,0.004788605,0.0,-0.0058506373,31365.723
